ID	识别结果	参考文本
IC0936W0316	联 想 控 股 计 划 融 资 十 五 亿 二 十 五 亿 美 元	联想控股计划融资十五亿二十五亿美元
IC0936W0317	募 资 将 用 于 增 加 投 资 资 本	募资将用于增加投资资本
IC0936W0318	联 想 控 股 所 募 资 金 将 用 于 增 加 投 资 的 资 本	联想控股所募资金将用于增加投资的资本
IC0936W0319	继 续 投 资 具 有 高 增 长 潜 力 的 行 业	继续投资具有高增长潜力的行业
IC0936W0320	如 消 费 与 服 务 相 关 的 行 业	如消费与服务相关的行业
IC0936W0321	并 补 充 财 务 投 资 的 资 本	并补充财务投资的资本
IC0936W0322	中 金 公 司 和 瑞 银 为 其 此 次 ipo 的 联 席 保 保 荐 人	中金公司和瑞银为其此次IPO的联席保保荐人
IC0936W0323	联 想 控 股 成 立 于 一 百 九 十 八 四 年	联想控股成立于一百九十八四年
IC0936W0324	由 柳 传 志 等 十 一 名 科 研 人 员 创 立	由柳传志等十一名科研人员创立
IC0936W0325	公 司 最 初 进 入 it 领 域	公司最初进入IT领域
IC0936W0326	成 就 了 pc 龙 头 公 司 联 想 集 团	成就了PC龙头公司联想集团
IC0936W0327	后 者 已 在 港 交 所 上 市	后者已在港交所上市
IC0936W0328	二 零 零 零 联 想 控 股 正 式 启 动 多 元 化 战 略	二零零零联想控股正式启动多元化战略
IC0936W0329	逐 步 进 入 it 以 外 的 行 业	逐步进入IT以外的行业
IC0936W0330	现 已 成 为 中 国 最 大 的 多 元 化 投 资 集 团 之 一	现已成为中国最大的多元化投资集团之一
IC0936W0331	联 想 控 股 有 战 略 投 资 和 财 务 投 资 两 大 业 务	联想控股有战略投资和财务投资两大业务
IC0936W0332	其 中 战 略 投 资 分 为 六 大 板 块	其中战略投资分为六大板块
IC0936W0333	联 想 控 股 对 联 想 集 团 的 持 股 比 例 为 三 十 点 百 分 之 五 十 五	联想控股对联想集团的持股比例为三十点百分之五十五
IC0936W0334	联 想 控 股 在 财 务 投 资 方 面 也 颇 有 成 绩	联想控股在财务投资方面也颇有成绩
IC0936W0335	其 旗 下 公 司 联 想 之 星 军 联 资 本 和 弘 毅 投 资	其旗下公司联想之星君联资本和弘毅投资
IC0936W0336	分 别 覆 盖 了 天 使 投 资 风 险 投 资 和 私 募 股 权 投 资 的 领 域	分别覆盖了天使投资风险投资和私募股权投资的领域
IC0936W0337	联 想 控 股 二 零 一 四 年 营 业 收 入 为 二 十 八 九 十 五 亿 元	联想控股二零一四年营业收入为二十八九十五亿元
IC0936W0338	在 本 届 田 径 世 锦 赛 女 子 撑 杆 跳 比 赛 中	在本届田径世锦赛女子撑杆跳比赛中
IC0936W0339	虽 然 他 冲 击 四 米 七 零 三 次 试 跳 均 告 失 败	虽然她冲击四米七零三次试跳均告失败
IC0936W0340	但 他 还 是 超 越 了 自 己 上 次 世 锦 赛 的 成 绩	但她还是超越了自己上次世锦赛的成绩
IC0936W0341	李 林 期 待 自 己 有 更 好 的 表 现	李玲期待自己有更好的表现
IC0936W0342	好 学 生 被 学 歧 视 后 奋 发 学 习	好学生被学歧视后发奋学习
IC0936W0343	新 京 报 参 加 比 赛 时 你 带 的 东 西 总 是 特 别 多	新京报参加比赛时你带的东西总是特别多
IC0936W0344	李 林 笑 其 实 平 时 训 练 包 也 特 别 大	李玲笑其实平时训练包也特别大
IC0936W0345	而 且 我 把 包 装 得 满 满 的	而且我把包装得满满的
IC0936W0346	特 别 像 中 小 学 生 的 书 包	特别像中小学生的书包
IC0936W0347	小 时 候 生 怕 忘 带 什 么 挨 老 师 骂	小时候生怕忘带什么挨老师骂
IC0936W0348	别 人 家 孩 子 忘 带 东 西 了	别人家孩子忘带东西了
IC0936W0349	后 来 慢 慢 就 养 成 习 惯 了	后来慢慢就养成习惯了
IC0936W0350	新 京 报 包 里 都 有 什 么	新京报包里都有什么
IC0936W0351	李 玲 训 练 用 的 钉 鞋 胶 布	李玲训练用的钉鞋胶布
IC0936W0352	做 力 量 用 的 腰 带 拉 带 运 动 饮 料 放 松 用 的 滚 轮 等 等	做力量用的腰带拉带运动饮料放松用的滚轴等等
IC0936W0353	新 京 报 学 习 这 么 好 是 什 么 原 因	新京报学习这么好是什么原因
IC0936W0354	教 练 要 求 我 有 课 就 上 课 去	教练要求我有课就上课去
IC0936W0355	如 果 考 得 好 还 给 我 涨 零 花 钱	如果考得好还给我涨零花钱
IC0936W0356	妈 妈 留 给 我 零 花 钱	妈妈留给我零花钱
IC0936W0357	我 每 星 期 去 那 儿 领 十 块 钱	我每星期去那儿领十块钱
IC0936W0358	京 京 报 对 自 己 要 求 也 很 严 格	新京报对自己要求也很严格
IC0936W0359	李 玲 我 是 接 触 到 的 知 识 一 定 要 学 好	李玲我是接触到的知识一定要学好
IC0936W0360	这 点 事 受 我 妈 和 我 教 练 的 影 响	这点是受我妈和我教练的影响
IC0936W0361	文 化 课 这 方 面 不 会 让 我 落 下	文化课这方面不会让我落下
IC0936W0362	新 京 报 后 来 训 练 了 是 怎 么 保 持 的	新京报后来训练了是怎么保持的
IC0936W0363	李 玲 也 是 上 大 学 受 到 一 点 小 刺 激	李玲也是上大学受到一点小刺激
IC0936W0364	有 一 次 考 试 本 来 准 备 很 好	有一次考试本来准备很好
IC0936W0365	等 到 考 完 对 答 案 的 时 候	等到考完对答案的时候
IC0936W0366	但 他 们 觉 得 告 诉 了 我	但他们觉得告诉了我
IC0936W0367	体 育 生 就 会 抄 别 人 的	体育生就会抄别人的
IC0936W0368	以 后 我 就 特 别 努 力 地 学 习	以后我就特别努力的学习
IC0936W0369	好 几 门 考 了 班 级 第 一	好几门考了班级第一
IC0936W0370	好 女 儿 妈 妈 从 老 家 送 来 虎 皮 尖 椒	好女儿妈妈从老家送来虎皮尖椒
IC0936W0371	新 京 报 第 一 次 接 触 撑 杆 跳 是 什 么 时 候	新京报第一次接触撑杆跳是什么时候
IC0936W0372	李 林 当 时 没 有 什 么 印 象	李玲当时没有什么印象
IC0936W0373	只 记 得 教 练 在 选 学 生	只记得教练在选学生
IC0936W0374	他 看 我 拿 杆 的 感 觉 比 较 好	他看我拿杆的感觉比较好
IC0936W0375	我 当 时 都 不 知 道 撑 杆 跳 是 什 么	我当时都不知道撑杆跳是什么
IC0936W0376	新 京 报 小 时 候 受 过 什 么 严 重 的 伤 吗	新京报小时候受过什么严重的伤吗
IC0936W0377	李 玲 受 伤 肯 定 是 难 免 的	李玲受伤肯定是难免的
IC0936W0378	挺 多 印 象 都 挺 深 刻 的	挺多印象都挺深刻的
IC0936W0379	有 一 次 训 练 时 注 意 力 不 集 中	有一次训练时注意力不集中
IC0936W0380	下 来 后 腰 上 的 韧 带 有 一 处 拉 伤	下来后腰上的韧带有一处拉伤
IC0936W0381	当 时 自 己 在 屋 里 躺 着	当时自己在屋里躺着
IC0936W0382	除 了 脖 子 能 动 哪 都 不 能 动	除了脖子能动那儿都不能动
IC0936W0383	新 京 报 平 时 常 回 家 吗	新京报平时常回家吗
IC0936W0384	因 为 年 初 马 上 就 是 室 内 的 比 赛	因为年初马上就是室内的比赛
IC0936W0385	过 年 训 练 一 停 就 会 影 响 状 态	过年训练一停就会影响状态
IC0936W0386	新 京 宝 妈 妈 会 经 常 来 看 你 吗	新京报妈妈会经常来看你吗
IC0936W0387	我 小 时 候 他 是 一 个 月 来 一 次	我小时候她是一个月来一次
IC0936W0388	现 在 退 休 了 来 得 也 挺 勤 的	现在退休了来得也挺勤的
IC0936W0389	新 京 报 爸 爸 对 你 也 特 别 宠 爱 吧	新京报爸爸对你也特别宠爱吧
IC0936W0390	李 林 我 爸 是 特 别 惯 着 我	李玲我爸是特别惯着我
IC0936W0391	喜 欢 喝 汽 水 他 就 给 我 买 一 箱	喜欢喝汽水他就给我买一箱
IC0936W0392	喜 欢 吃 虾 条 就 给 我 来 一 沓	喜欢吃虾条就给我来一打
IC0936W0393	当 时 小 女 孩 们 都 喜 欢 赚 钱 比 谁 的 裙 子 飘 得 大	当时小女孩们都喜欢转圈比谁的裙子飘得大
IC0936W0394	好 身 材 叫 女 神 是 对 自 己 的 鼓 励	好身材叫女神是对自己的鼓励
IC0936W0395	新 京 报 你 对 撑 杆 跳 女 神 这 个 称 呼 怎 么 看	新京报你对撑杆跳女神这个称呼怎么看
IC0936W0396	李 玲 我 觉 得 他 们 是 想 让 我 更 自 信	李玲我觉得他们是想让我更自信
IC0936W0397	这 对 我 也 是 一 个 鼓 励 吧	这对我也是一个鼓励吧
IC0936W0398	新 京 报 听 说 你 用 牛 奶 护 肤	新京报听说你用牛奶护肤
IC0936W0399	有 一 次 发 现 我 师 姐 用 了 这 个	有一次发现我师姐用了这个
IC0936W0400	第 二 天 不 会 干 的 痒 痒	第二天不会干的痒痒
IC0936W0401	新 京 报 爸 爸 妈 妈 是 山 东 人	新京报爸爸妈妈是山东人
IC0936W0402	为 什 么 口 音 却 像 东 北 的	为什么口音却像东北的
IC0936W0403	今 天 打 电 话 有 一 个 人 也 这 么 说	今天打电话有一个人也这么说
IC0936W0404	有 外 媒 报 道 称	有外媒报道称
IC0936W0405	投 资 方 之 一 阿 纳 普 纳 影 业 已 经 撤 资	投资方之一阿纳普纳影业已经撤资
IC0936W0406	该 公 司 的 制 片 人 梅 根 艾 里 森 虽 然 没 有 确 定 这 一 消 息	该公司的制片人梅根埃里森虽然没有确定这一消息
IC0936W0407	但 乔 布 斯 临 时 搁 浅 的 命 运 似 乎 已 经 逃 不 过 去	但乔布斯临阵搁浅的命运似乎已经逃不过去
IC0936W0408	演 员 陈 晓 东 在 某 电 视 剧 中 有 跳 海 救 唐 艺 昕 的 情 节	演员陈晓东在某电视剧中有跳海救唐艺昕的情节
IC0936W0409	他 说 为 了 完 美 呈 现 水 下 救 人 的 画 面	他说为了完美呈现水下救人的画面
IC0936W0410	拍 了 九 个 小 时 才 大 功 告 成	拍了九个小时才大功告成
IC0936W0411	搜 狐 娱 乐 讯 据 香 港 媒 体 报 道	搜狐娱乐讯据香港媒体报道
IC0936W0412	三 十 九 岁 陈 晓 东 东 东 再 度 荣 生 父 亲	三十九岁陈晓东东东再度荣升父亲
IC0936W0413	大 女 儿 朵 朵 上 个 月 才 刚 满 一 岁	大女儿朵朵上个月才刚满一岁
IC0936W0414	前 天 十 五 日 东 东 的 二 女 儿 又 出 生	前天十五日东东的二女儿又出生
IC0936W0415	东 东 去 年 二 月 与 比 他 年 轻 十 二 年 的 护 士 王 淑 贤 结 婚	东东去年二月与比他年轻十二年的护士王妤娴结婚
IC0936W0416	两 年 内 以 冰 船 喜 讯	两年内已斌传喜讯
IC0936W0417	他 这 次 更 要 求 为 女 儿 剪 脐 带	他这次更要求为女儿剪脐带
IC0936W0418	他 笑 说 太 太 说 要 罢 工	他笑说太太说要罢工
IC0936W0419	要 再 生 也 要 过 一 段 时 间 再 考 虑	要再生也要过一段时间再考虑
IC0936W0420	来 源 南 京 晚 报	来源南京晚报
IC0936W0421	搜 狐 娱 乐 讯 据 台 湾 媒 体 报 道	搜狐娱乐讯据台湾媒体报道
IC0936W0422	艺 人 陈 妍 希 热 爱 小 四 岁 的 大 陆 小 生 陈 晓	艺人陈妍希认爱小四岁的大陆小生陈晓
IC0936W0423	两 人 因 合 作 神 雕 侠 侣 擦 出 爱 火	两人因合作神雕侠侣擦出爱火
IC0936W0424	恋 情 发 展 备 受 关 注	恋情发展备受关注
IC0936W0425	更 在 日 前 曝 出 交 往 七 个 月 准 备 闪 婚	更在日前爆出交往七个月准备闪婚
IC0936W0426	连 男 方 在 法 国 报 游 艇 求 婚 的 照 片 都 被 网 友 扒 出	连男方在法国包游艇求婚的照片都被网友扒出
IC0936W0427	他 坦 诚 当 时 很 惊 喜 很 感 动	她坦承当时很惊喜很感动
IC0936W0428	男 友 受 访 时 也 首 度 大 方 松 口 确 实 已 经 进 入 求 婚 阶 段	男友受访时也首度大方松口确实已经进入求婚阶段
IC0936W0429	让 粉 丝 听 了 又 惊 又 喜	让粉丝听了又惊又喜
IC0936W0430	中 新 网 讯 据 台 湾 东 森 新 闻 报 道	中新网讯据台湾东森新闻报道
IC0936W0431	湖 南 耒 阳 市 文 联 主 席 怒 砸 网 站 办 公 电 脑 已 被 停 职	湖南耒阳市文联主席怒砸网站办公电脑已被停职
IC0936W0432	记 者 从 耒 阳 市 相 关 部 门 获 悉	记者从耒阳市相关部门获悉
IC0936W0433	耒 阳 市 文 联 主 席 熊 爱 春 已 正 式 被 停 职	耒阳市文联主席熊艾春已正式被停职
IC0936W0434	湖 南 耒 阳 文 联 主 席 回 应 砸 电 脑 他 们 骂 我 神 经 病	湖南耒阳文联主席回应砸电脑他们骂我神经病
IC0936W0435	熊 爱 春 与 网 站 工 作 人 员 起 争 执	熊艾春与网站工作人员起争执
IC0936W0436	湖 南 耒 阳 市 文 联 主 席 熊 爱 春	湖南耒阳市文联主席熊艾春
IC0936W0437	网 友 吐 槽 文 联 主 席 写 诗 水 平	网友吐槽文联主席写诗水平
IC0936W0438	耒 阳 市 文 联 工 作 人 员 称	耒阳市文联工作人员称
IC0936W0439	熊 爱 春 十 几 天 前 精 神 上 出 现 问 题	熊艾春十几天前精神上出现问题
IC0936W0440	他 的 写 诗 水 平 不 敢 恭 维	他的写诗水平不敢恭维
IC0936W0441	但 却 因 精 神 出 现 问 题 才 干 出 此 事	但确因精神出现问题才干出此事
IC0936W0442	湖 南 耒 阳 文 联 主 席 妻 子 老 公 是 好 人 每 天 为 我 切 菜	湖南耒阳文联主席妻子老公是好人每天为我切菜
IC0936W0443	湖 南 耒 阳 文 联 主 席 曾 有 过 精 神 病 史 目 前 正 在 治 疗	湖南耒阳文联主席曾有过精神病史目前正在治疗
IC0936W0444	因 在 网 络 论 坛 发 表 的 诗 歌 遭 到 差 评	因在网络论坛发表的诗歌遭到差评
IC0936W0445	耒 阳 市 文 联 主 席 熊 爱 春 要 求 耒 阳 社 区 网 站 赔 偿 一 零 万 元	耒阳市文联主席熊艾春要求耒阳社区网站赔偿一零万元
IC0936W0446	湖 南 耒 阳 文 联 主 席 要 求 网 站 赔 偿 九 八 万 元	湖南耒阳文联主席要求网站赔偿九八万元
IC0936W0447	砸 坏 了 一 台 办 公 电 脑	砸坏了一台办公电脑
IC0936W0448	并 留 下 熊 爱 春 怒 砸 社 区 电 脑 的 字 条	并留下熊艾春怒砸社区电脑的字条
IC0936W0449	湖 南 耒 阳 编 办 原 副 主 任 摄 受 贿 通 奸 避 孕 套 藏 办 公 室	湖南耒阳编办原副主任涉受贿通奸避孕套藏办公室
IC0936W0450	湖 南 省 耒 阳 市 编 办 原 副 主 任 罗 才 阳 在 任 职 期 间	湖南省耒阳市编办原副主任罗才洋在任职期间
IC0936W0451	利 用 所 职 编 制 工 作 重 要 权 利	利用所执编制工作重要权力
IC0936W0452	先 后 收 受 贿 赂 共 计 人 民 币 四 四 五 万 元	先后收受贿赂共计人民币四四五万元
IC0936W0453	他 还 违 规 办 理 编 制 手 续 违 规 经 商 与 多 名 女 性 通 奸	他还违规办理编制手续违规经商与多名女性通奸
IC0936W0454	并 为 通 奸 女 性 安 排 工 作 解 决 编 制 等	并为通奸女性安排工作解决编制等
IC0936W0455	衡 阳 市 纪 委 将 此 案 进 行 了 转 发 通 报	衡阳市纪委将此案件进行了转发通报
IC0936W0456	湖 南 耒 阳 遭 文 联 主 席 怒 砸 网 站 今 天 已 暂 停 服 务	湖南耒阳遭文联主席怒砸网站今天已暂停服务
IC0936W0457	网 站 今 日 发 布 公 告 称	网站今日发布公告称
IC0936W0458	由 于 网 站 访 问 量 暴 增 和 大 量 恶 意 ddos 攻 击	由于网站访问量暴增和大量恶意DDOS攻击
IC0936W0459	预 计 明 天 下 午 六 点 可 以 正 常 浏 览	预计明天下午六点可以正常浏览
IC0936W0460	湖 南 致 九 死 四 伤 嫌 疑 犯 被 捕 时 叫 嚣 二 零 年 后 又 是 条 好 汉	湖南致九死四伤嫌疑犯被捕时叫嚣二零年后又是条好汉
IC0936W0461	湖 南 至 九 死 嫌 犯 落 网 去 医 务 室 要 食 物 被 村 民 举 报	湖南致九死嫌犯落网去医务室要食物被村民举报
IC0936W0462	新 华 社 记 者 二 五 日 从 湖 南 省 公 安 厅 获 悉	新华社记者二五日从湖南省公安厅获悉
IC0936W0463	警 方 根 据 线 索 于 当 晚 抓 获 汪 某	警方根据线索于当晚抓获汪某
IC0936W0464	湖 南 艾 滋 患 者 拒 捕 死 亡 细 节 被 围 捕 多 次 咬 民 警	湖南艾滋患者拒捕死亡细节被围捕多次咬民警
IC0936W0465	法 制 网 记 者 阮 占 江 法 制 网 通 讯 员 贾 章 显 刘 鹏	法制网记者阮占江法制网通讯员贾章显刘鹏
IC0936W0466	湖 南 衡 阳 建 垃 圾 中 转 站 遭 反 对	湖南衡山建垃圾中转站遭反对
IC0936W0467	华 声 在 线 一 三 湘 都 市 报 一 零 月 一 三 日 讯 近 期	华声在线三湘都市报一零月一三日讯近期
IC0936W0468	垃 圾 中 转 站 不 应 该 选 址 在 人 口 稠 密 的 地 区	垃圾中转站不应该选址在人口稠密的地区
IC0936W0469	而 且 该 项 目 未 经 居 民 代 表 的 同 意	而且该项目未经居民代表的同意
IC0936W0470	存 在 先 建 后 申 报 的 问 题	存在先建后申报的问题
IC0936W0471	湖 南 衡 阳 一 零 岁 女 童 上 学 途 中 遇 害 嫌 疑 人 被 获	湖南衡阳一零岁女童上学途中遇害嫌疑人被获
IC0936W0472	九 月 二 二 日 下 午 五 时	九月二二日下午五时
IC0936W0473	湖 南 衡 阳 创 文 汇 演 演 员 中 途 罢 演 拉 横 幅 讨 薪	湖南衡阳创文汇演演员中途罢演拉横幅讨薪
IC0936W0474	七 月 九 日 下 午 汇 演 中 途 出 现 戏 剧 一 幕	七月九日下午汇演中途出现戏剧一幕
IC0936W0475	多 名 现 场 观 众 告 诉 澎 湃 新 闻	多名现场观众告诉澎湃新闻
IC0936W0476	二 零 多 名 身 着 戏 服 的 衡 南 县 花 鼓 戏 团 演 员	二零多名身着戏服的衡南县花鼓戏团演员
IC0936W0477	突 然 从 道 具 箱 中 扯 出 两 条 横 幅 维 权 讨 薪	突然从道具箱中扯出两条横幅维权讨薪
IC0936W0478	湖 南 衡 阳 一 商 铺 发 生 爆 炸 一 名 路 人 身 亡	湖南衡阳一商铺发生爆炸一名路人身亡
IC0936W0479	今 日 七 日 上 午 八 时	今日七日上午八时
IC0936W0480	湖 南 衡 阳 船 山 路 与 正 阳 路 交 汇 处 某 广 告 店 发 生 爆 炸	湖南衡阳船山路与蒸阳路交汇处某广告店发生爆炸
IC0936W0481	一 些 碎 石 被 炸 到 对 面 的 马 路 上	一些碎石被炸到对面的马路上
IC0936W0482	一 名 在 此 路 过 的 市 民 被 炸 死	一名在此路过的市民被炸死
IC0936W0483	三 人 随 后 被 埋 进 废 墟	三人随后被埋进废墟
IC0936W0484	事 故 原 因 疑 似 氧 气 瓶 发 生 爆 炸	事故原因疑似氧气瓶发生爆炸
IC0936W0485	爆 炸 具 体 原 因 正 在 核 实	爆炸具体原因正在核实
IC0936W0486	伤 者 已 送 往 医 院 救 治	伤者已送往医院救治
IC0936W0487	湖 南 衡 阳 一 商 铺 煤 气 管 爆 炸 致 一 人 死 亡 二 人 重 伤	湖南衡阳一商铺煤气罐爆炸致一人死亡二人重伤
IC0936W0488	造 成 一 人 死 亡 二 人 重 伤	造成一人死亡二人重伤
IC0936W0489	湖 南 衡 阳 一 商 铺 爆 炸 致 一 人 身 亡 三 人 被 埋 废 墟	湖南衡阳一商铺爆炸致一人身亡三人被埋废墟
IC0936W0490	记 者 上 午 八 时 一 零 分 左 右	记着上午八时一零分左右
IC0936W0491	记 者 从 衡 阳 市 宣 传 部 了 解 到	记者从衡阳市宣传部了解到
IC0936W0492	这 起 爆 炸 由 电 焊 操 作 引 起	这起爆炸由电焊操作引起
IC0936W0493	目 前 已 有 一 名 路 人 因 爆 炸 身 亡	目前已有一名路人因爆炸身亡
IC0936W0494	湖 南 衡 阳 一 商 铺 突 然 爆 炸 目 前 有 人 员 受 伤	湖南衡阳一商铺突然爆炸目前有人员受伤
IC0936W0495	新 华 网 长 沙 七 月 七 日 电 记 者 白 甜 甜 七 日 上 午 八 时 许	新华网长沙七月七日电记者白田田七日上午八时许
IC0936W0496	湖 南 衡 阳 市 一 家 商 铺 发 生 爆 炸	湖南衡阳市一家商铺发生爆炸
IC0936W0497	HJHLJ	HJHLJ
IC0936W0498	AFVXV	AFVXV
IC0936W0499	TYMHY	TYMHY
IC0936W0500	ENRQS	ENRQS
